,id,name,element_type,total_points,quality_score
0,3,Xhaka,3,106,94.2979401887885
1,4,Elneny,3,6,1.2707044602357405
2,5,Holding,2,9,3.7187809251239656
3,6,Partey,3,72,79.47773964954061
4,7,Ødegaard,3,153,129.3625008629356
5,8,Tierney,2,29,17.516580816979967
6,10,White,2,121,77.33887235473397
7,11,Nketiah,4,57,44.19333579340659
8,12,Smith Rowe,3,11,6.528798920950832
9,13,Saka,3,170,152.58512447642278
10,14,Tomiyasu,2,32,22.885696685544154
11,15,Ramsdale,1,112,93.94471795525345
12,16,Gabriel,2,124,91.17891826188406
13,19,Martinelli,3,157,124.92840631855617
14,23,Nelson,3,32,26.506502708676972
15,25,Fábio Vieira,3,35,19.99661630740715
16,26,Saliba,2,117,83.92406989793903
17,27,Marquinhos,3,1,0.005096090766031614
18,28,Jesus,4,71,74.63405675285581
19,111,Trossard,3,127,105.18253249485046
20,130,Jorginho,3,62,57.30150382530528
21,313,Zinchenko,2,88,58.17095257534412
22,630,Nwaneri,3,1,0.005096090766031614
23,710,Kiwior,2,1,0.32965330026115114
24,29,Coutinho,3,32,25.11707372631009
25,31,Martínez,1,88,92.77565479634055
26,32,Chambers,2,8,7.198154471136355
27,33,Digne,2,43,43.3006812204746
28,34,Traoré,3,2,1.6367996024512141
29,35,Olsen,1,9,10.491840987827466
30,36,Sanson,3,2,0.6946916071964404
31,37,McGinn,3,58,50.474447263120055
32,39,Mings,2,84,70.51599781504022
33,40,Watkins,4,115,111.19347558369934
34,42,Buendía,3,85,64.94471957894743
35,43,Cash,2,53,50.19664819234981
36,44,Konsa,2,72,70.66604146121918
37,45,Bailey,3,86,59.84899342017154
38,46,Douglas Luiz,3,88,83.41673190125542
39,47,Ramsey,3,74,67.25082769334622
40,50,Diego Carlos,2,3,4.604280168259587
41,53,Kamara,3,38,48.371423209003126
42,54,Archer,4,6,0.7892255173519152
43,479,Dendoncker,3,24,19.708078492762283
44,525,Augustinsson,2,2,1.5880627428034568
45,538,Young,2,54,45.61994595105222
46,694,Álex Moreno,2,33,20.974390006950813
47,711,Durán,4,6,1.6211304972185974
48,57,Smith,2,57,60.796869066645
49,58,Stanislas,3,4,1.9209903882920576
50,59,Fredericks,2,12,13.416267681401191
51,60,Brooks,3,1,0.8225131987038599
52,61,Lowe,3,2,0.0867108412614013
53,62,Moore,4,52,45.20844761556566
54,63,Marcondes,3,1,0.22469178313857413
55,64,Lerma,3,67,80.61236057543749
56,65,Stacey,2,5,8.09743298115578
57,66,Solanke,4,80,69.19429536985555
58,67,Cook,3,45,51.70843673910118
59,68,Pearson,3,9,4.774968927842383
60,69,Christie,3,38,33.17406103500175
61,70,Billing,3,94,89.93121246712097
62,71,Mepham,2,27,63.99786966659268
63,72,Travers,1,25,39.91749451248492
64,73,Kelly,2,34,38.748871380660574
65,74,Dembélé,3,6,5.77485437887899
66,75,Anthony,3,49,44.69909092927107
67,76,Zemura,2,47,47.84309487256101
68,404,Stephens,2,26,29.65137416246121
69,505,Rothwell,3,20,12.713823046041245
70,535,Tavernier,3,70,61.03307214960601
71,574,Neto,1,60,67.5740630189743
72,576,Senesi,2,54,71.87730473701458
73,598,Bevan,2,1,0.1180323800043442
74,705,Ouattara,3,26,27.252694532950308
75,714,Semenyo,4,8,4.826759913599904
76,718,Viña,2,4,1.2736136501274422
77,723,H.Traorè,3,11,13.529662905112218
78,78,Jansson,2,19,16.197667180515307
79,79,Nørgaard,3,64,60.72328958568559
80,80,Toney,4,145,139.88753546152984
81,81,Raya,1,120,114.35557913122358
82,82,Canós,2,5,1.780872341661246
83,83,Dasilva,3,61,45.632278165683715
84,84,Ajer,2,29,19.38749577529265
85,85,Henry,2,81,68.30150402985424
86,86,Janelt,3,67,64.13878397629438
87,87,Ghoddos,3,10,3.7850489265541913
88,88,Jensen,3,106,88.33372089702165
89,89,Wissa,3,79,49.667339636736756
90,90,Roerslev,2,37,26.734646670722007
91,91,Bech,2,4,0.4826411980935573
92,92,Pinnock,2,65,70.30210554114055
93,93,Onyeka,3,20,15.35627051845222
94,94,Baptiste,3,17,12.61998343534166
95,95,Mbeumo,4,90,84.72705654122574
96,510,Hickey,2,37,32.109224854703626
97,515,Lewis-Potter,3,14,9.542475970913195
98,526,Mee,2,107,84.34587069665274
99,541,Dervişoğlu,4,4,0.07109962427020458
